site_id,site_name,sector,current_rooftop_mwp,has_polygon,verdict,confidence,primary_issue,recommended_action,notes
indonesia-morowali-industrial-park-imip,Indonesia Morowali Industrial Park (IMIP),nickel,75.1,True,ok,medium,,accept,Has industrial polygon; no audit flag.
indonesia-pomalaa-industry-park-ipip,Indonesia Pomalaa Industry Park (IPIP),nickel,12.3,True,ok,medium,,accept,Has industrial polygon; no audit flag.
virtue-dragon-nickel-industrial-park-vdnip,Virtue Dragon Nickel Industrial Park (VDNIP),nickel,32.5,True,ok,medium,,accept,Has industrial polygon; no audit flag.
obi-island-industrial-park,Obi Island Industrial Park,nickel,0.0,True,undercount,medium,post_imagery_buildout,rerun_after_imagery_refresh,Polygon (10ha core) added round 1 but Harita Group HPAL complex extends well beyond OSM-tagged area. Rooftop signal will improve as imagery refreshes.
industrial-weda-bay-industrial-park-iwip,Industrial Weda Bay Industrial Park (IWIP),nickel,0.0,True,undercount,high,post_imagery_buildout,rerun_after_imagery_refresh,Polygon (116ha union of sub-facility ways) added 2026-05-03 but rooftop still 0 MWp. Both GoB v3 and MS GMLBF imagery predate IWIP buildout (2018-2024).
bantaeng-industrial-park-bip,Bantaeng Industrial Park (BIP),nickel,18.1,True,ok,medium,,accept,Has industrial polygon; no audit flag.
freeport-smelter-gresik,Freeport Smelter Gresik,aluminium,2.8,True,ok,medium,,accept,Has industrial polygon; no audit flag.
petrokimia-gresik,Petrokimia Gresik,fertilizer,68.5,True,ok,medium,,accept,Has industrial polygon; no audit flag.
industropolis-batang,Industropolis Batang,mixed,2.7,True,ok,low,,accept,"KEK polygon-covered; default-trusted, not individually visually audited in this round."
kek-arun-lhokseumawe,Arun Lhokseumawe,mixed,42.4,True,ok,low,,accept,"KEK polygon-covered; default-trusted, not individually visually audited in this round."
kek-galang-batang,Galang Batang,mixed,6.7,True,ok,low,,accept,"KEK polygon-covered; default-trusted, not individually visually audited in this round."
kek-gresik,Gresik,mixed,16.0,True,ok,low,,accept,"KEK polygon-covered; default-trusted, not individually visually audited in this round."
kek-sei-mangkei,Sei Mangkei,mixed,6.5,True,ok,low,,accept,"KEK polygon-covered; default-trusted, not individually visually audited in this round."
kek-palu,Palu,mixed,4.2,True,ok,low,,accept,"KEK polygon-covered; default-trusted, not individually visually audited in this round."
kek-tanjung-lesung,Tanjung Lesung,mixed,0.0,True,ok,low,,accept,"KEK polygon-covered; default-trusted, not individually visually audited in this round."
semen-padang-indarung,Semen Padang Indarung,cement,22.3,True,ok,medium,,accept,Has industrial polygon; no audit flag.
gunung-raja-paksi-bekasi,Gunung Raja Paksi Bekasi,steel,54.0,True,ok,medium,,accept,Has industrial polygon; no audit flag.
kek-morotai,Morotai,mixed,0.0,True,ok,low,,accept,"KEK polygon-covered; default-trusted, not individually visually audited in this round."
kek-lido,Lido,mixed,1.2,True,ok,low,,accept,"KEK polygon-covered; default-trusted, not individually visually audited in this round."
kek-mandalika,Mandalika,mixed,2.7,True,ok,low,,accept,"KEK polygon-covered; default-trusted, not individually visually audited in this round."
kek-kendal,Kendal,mixed,13.4,True,ok,low,,accept,"KEK polygon-covered; default-trusted, not individually visually audited in this round."
krakatau-posco-cilegon,Krakatau Posco Cilegon,steel,0.8,True,ok,medium,,accept,Has industrial polygon; no audit flag.
semen-baturaja,Semen Baturaja,cement,6.1,True,ok,medium,,accept,Has industrial polygon; no audit flag.
indocement-palimanan,Indocement Palimanan,cement,17.8,True,ok,medium,,accept,Has industrial polygon; no audit flag.
cemindo-gemilang-bayah,Cemindo Gemilang Bayah,cement,10.7,True,ok,medium,,accept,Has industrial polygon; no audit flag.
kek-maloy-batuta,Maloy Batuta Trans Kalimantan,mixed,0.0,True,ok,low,,accept,"KEK polygon-covered; default-trusted, not individually visually audited in this round."
kek-bitung,Bitung,mixed,13.9,True,ok,low,,accept,"KEK polygon-covered; default-trusted, not individually visually audited in this round."
kek-sorong,Sorong,mixed,0.0,True,ok,low,,accept,"KEK polygon-covered; default-trusted, not individually visually audited in this round."
ispat-indo-sidoarjo,Ispat Indo Sidoarjo,steel,10.0,True,ok,medium,,accept,Has industrial polygon; no audit flag.
kek-kura-kura,Kura Kura Bali,mixed,0.0,True,ok,low,,accept,"KEK polygon-covered; default-trusted, not individually visually audited in this round."
kek-tanjung-kelayang,Tanjung Kelayang,mixed,0.0,True,ok,low,,accept,"KEK polygon-covered; default-trusted, not individually visually audited in this round."
kek-likupang,Likupang,mixed,0.0,True,ok,low,,accept,"KEK polygon-covered; default-trusted, not individually visually audited in this round."
kek-nongsa,Nongsa,mixed,4.0,True,ok,low,,accept,"KEK polygon-covered; default-trusted, not individually visually audited in this round."
semen-gresik-city,Semen Gresik City,cement,14.2,True,ok,medium,,accept,Has industrial polygon; no audit flag.
kek-singhasari,Singhasari,mixed,0.0,True,ok,low,,accept,"KEK polygon-covered; default-trusted, not individually visually audited in this round."
semen-kupang,Semen Kupang,cement,7.7,True,ok,medium,,accept,Has industrial polygon; no audit flag.
bumi-serpong-damai,"Banten International Education, Technology, and Health",mixed,0.9,True,ok,low,,accept,"KEK polygon-covered; default-trusted, not individually visually audited in this round."
batam-tourism-and-international-healthcare,Batam Tourism and International Healthcare,mixed,2.6,True,ok,low,,accept,"KEK polygon-covered; default-trusted, not individually visually audited in this round."
kek-sanur,Sanur,mixed,2.7,True,ok,low,,accept,"KEK polygon-covered; default-trusted, not individually visually audited in this round."
kek-batam-aero-technic,Batam Aero Technic,mixed,5.1,True,ok,low,,accept,"KEK polygon-covered; default-trusted, not individually visually audited in this round."
setangga,Setangga,mixed,0.0,True,ok,low,,accept,"KEK polygon-covered; default-trusted, not individually visually audited in this round."
tanjung-sauh,Tanjung Sauh,mixed,0.0,True,ok,low,,accept,"KEK polygon-covered; default-trusted, not individually visually audited in this round."
nusantara-industri-sejati,Nusantara Industri Sejati,nickel,0.0,False,undercount,medium,shared_complex_with_vdnip,manual_override,DEFERRED: Motui village location is INSIDE the VDNIP polygon — same Konawe industrial complex per Kompas/nusantaratv. Splitting NIS from VDNIP without double-counting requires more data.
